Hotel_Name_City,Review_Overall_Rating,date_of_review,Month_of_Visit,Review_Type,Rating_Value,Rating_Location,Rating_Sleep_Quality,Rating_Rooms,Rating_Cleanliness,Rating_Service
Bombay Hotel Jaipur,3,8/26/2014,Aug-14,with family,3,4,NA,NA,NA,3
Bombay Hotel Jaipur,1,06-02-2013,Jun-13,NA,1,2,NA,1,1,3
Coffea Aroma Resort - Wayanad Meppadi,2,10/20/2014,Oct-14,with friends,2,NA,NA,2,NA,1
Coffea Aroma Resort - Wayanad Meppadi,3,9/29/2014,Sep-14,with friends,NA,4,NA,NA,3,3
Coffea Aroma Resort - Wayanad Meppadi,3,09-03-2014,Jul-14,as a couple,NA,NA,3,2,NA,5
Coffea Aroma Resort - Wayanad Meppadi,2,08-03-2014,Jul-14,with family,2,3,NA,NA,NA,2
Coffea Aroma Resort - Wayanad Meppadi,3,7/22/2014,Jul-14,as a couple,NA,NA,NA,NA,NA,NA
Coffea Aroma Resort - Wayanad Meppadi,4,06-06-2014,Jun-14,with family,4,5,5,3,3,3
Coffea Aroma Resort - Wayanad Meppadi,5,05-05-2014,May-14,as a couple,5,5,5,4,4,5
Coffea Aroma Resort - Wayanad Meppadi,4,4/30/2014,Apr-14,with family,4,4,3,3,3,5
Coffea Aroma Resort - Wayanad Meppadi,4,4/21/2014,Apr-14,as a couple,4,5,4,4,5,5
Coffea Aroma Resort - Wayanad Meppadi,5,3/18/2014,Mar-14,as a couple,5,5,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,4,3/15/2014,Feb-14,with friends,5,3,3,4,4,5
Coffea Aroma Resort - Wayanad Meppadi,4,03-05-2014,Apr-13,with family,5,5,3,3,3,4
Coffea Aroma Resort - Wayanad Meppadi,4,02-02-2014,Jan-14,with friends,4,4,3,3,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,02-01-2014,Jan-14,as a couple,5,5,4,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,01-08-2014,Dec-13,with family,3,4,4,4,3,4
Coffea Aroma Resort - Wayanad Meppadi,5,01-06-2014,Dec-13,with family,5,5,5,4,5,4
Coffea Aroma Resort - Wayanad Meppadi,1,01-06-2014,Jan-14,with family,1,3,1,1,1,1
Coffea Aroma Resort - Wayanad Meppadi,5,12/30/2013,Dec-13,as a couple,5,5,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,4,11/27/2013,Nov-13,as a couple,5,4,5,4,4,5
Coffea Aroma Resort - Wayanad Meppadi,3,11-11-2013,Nov-13,with family,4,5,4,3,3,4
Coffea Aroma Resort - Wayanad Meppadi,5,09-06-2013,Mar-13,with friends,5,5,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,4,06-02-2013,Apr-13,with family,3,4,4,3,3,4
Coffea Aroma Resort - Wayanad Meppadi,4,05-07-2013,May-13,with family,4,5,4,3,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,4/17/2013,Apr-13,with family,4,4,4,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,5,04-12-2013,Apr-13,with family,5,5,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,5,03-10-2013,Jan-13,with family,5,5,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,4,03-08-2013,Mar-13,NA,5,4,NA,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,3,2/26/2013,Jan-13,with family,4,5,3,2,2,3
Coffea Aroma Resort - Wayanad Meppadi,5,1/23/2013,Dec-12,with friends,5,5,5,5,4,5
Coffea Aroma Resort - Wayanad Meppadi,4,1/21/2013,Dec-12,with family,4,5,5,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,1/20/2013,Feb-12,with friends,4,5,3,4,3,3
Coffea Aroma Resort - Wayanad Meppadi,5,1/19/2013,Jan-13,with family,5,5,4,5,4,4
Coffea Aroma Resort - Wayanad Meppadi,5,1/16/2013,Dec-12,with friends,5,5,5,5,5,4
Coffea Aroma Resort - Wayanad Meppadi,5,1/14/2013,Dec-12,with friends,5,5,4,5,4,4
Coffea Aroma Resort - Wayanad Meppadi,2,01-09-2013,Dec-12,as a couple,2,3,2,2,2,3
Coffea Aroma Resort - Wayanad Meppadi,4,01-04-2013,Dec-12,with family,3,4,3,3,4,5
Coffea Aroma Resort - Wayanad Meppadi,4,12/27/2012,Dec-12,as a couple,4,4,4,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,12/21/2012,May-12,with friends,4,5,4,4,4,5
Coffea Aroma Resort - Wayanad Meppadi,5,11/29/2012,Nov-12,as a couple,5,4,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,5,11/27/2012,Jun-12,with friends,4,4,3,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,5,11/27/2012,Aug-12,with family,5,5,4,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,5,11/26/2012,Nov-12,as a couple,NA,NA,NA,NA,NA,NA
Coffea Aroma Resort - Wayanad Meppadi,5,11/17/2012,May-12,with friends,4,5,4,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,5,11/14/2012,Nov-12,with family,4,5,3,3,3,5
Coffea Aroma Resort - Wayanad Meppadi,5,11-04-2012,Aug-12,with family,5,5,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,5,11-01-2012,Dec-11,with friends,5,5,5,5,5,5
Coffea Aroma Resort - Wayanad Meppadi,5,10/26/2012,Jun-12,with friends,5,4,5,3,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,10-12-2012,Oct-12,with family,4,4,4,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,09-12-2012,Aug-12,as a couple,4,4,4,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,09-07-2012,Aug-12,as a couple,4,5,5,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,04-01-2012,Dec-11,as a couple,4,5,5,4,4,4
Coffea Aroma Resort - Wayanad Meppadi,4,1/29/2012,Sep-11,as a couple,4,3,3,3,3,4
Coffea Aroma Resort - Wayanad Meppadi,5,6/20/2011,Apr-11,with friends,5,NA,5,NA,5,5
Coffea Aroma Resort - Wayanad Meppadi,4,06-07-2011,Jun-11,with family,4,NA,4,NA,4,4
Costa Malabari Kannur,4,10-08-2014,Oct-14,with family,5,4,NA,NA,NA,4
Costa Malabari Kannur,5,8/18/2014,Aug-14,as a couple,NA,5,NA,5,NA,5
Costa Malabari Kannur,4,08-06-2014,Nov-13,as a couple,NA,NA,5,NA,5,5
Costa Malabari Kannur,4,08-06-2014,Jun-14,solo,5,NA,NA,NA,5,5
Costa Malabari Kannur,5,7/24/2014,Apr-14,solo,NA,NA,5,4,NA,5
Costa Malabari Kannur,4,5/19/2014,Feb-14,with friends,4,3,4,4,4,5
Costa Malabari Kannur,4,5/13/2014,Feb-14,with friends,4,4,4,4,4,5
